member_id,member_gender,member_age,preferred_gender,preferred_age_min,preferred_age_max,lifestyle_preference,personality_preference,can_smoking,can_snoring,max_roommates,can_has_pet
1,MALE,26,MALE,21,34,MORNING,EXTROVERT,False,False,2,False
2,MALE,26,MALE,23,31,MORNING,EXTROVERT,True,True,7,False
3,MALE,38,MALE,35,46,NIGHT,INTROVERT,True,True,10,False
4,FEMALE,28,FEMALE,21,31,MORNING,EXTROVERT,False,False,3,False
5,FEMALE,35,FEMALE,32,40,MORNING,EXTROVERT,False,False,9,False
6,MALE,23,NONE,20,30,MORNING,EXTROVERT,False,False,8,False
7,MALE,28,FEMALE,22,32,NIGHT,INTROVERT,True,True,5,False
8,FEMALE,22,FEMALE,20,26,MORNING,EXTROVERT,False,False,3,False
9,FEMALE,64,FEMALE,56,67,MORNING,INTROVERT,False,False,2,False
10,FEMALE,28,FEMALE,24,33,NIGHT,INTROVERT,False,False,10,False
11,FEMALE,29,NONE,22,34,NIGHT,EXTROVERT,True,False,4,False
12,FEMALE,29,FEMALE,24,35,MORNING,EXTROVERT,False,False,2,False
13,FEMALE,33,FEMALE,29,37,MORNING,INTROVERT,False,True,3,False
14,MALE,24,FEMALE,20,28,NIGHT,EXTROVERT,False,False,2,False
15,MALE,34,MALE,27,40,NIGHT,EXTROVERT,True,False,7,True
16,FEMALE,31,FEMALE,23,36,MORNING,EXTROVERT,False,True,2,False
17,MALE,98,NONE,91,100,NIGHT,EXTROVERT,True,False,8,False
18,FEMALE,31,MALE,26,37,MORNING,EXTROVERT,False,False,8,False
19,MALE,29,FEMALE,21,33,NIGHT,EXTROVERT,True,False,2,False
20,MALE,22,MALE,20,30,NIGHT,EXTROVERT,False,True,2,False
21,FEMALE,21,NONE,20,25,MORNING,EXTROVERT,False,True,3,False
22,MALE,28,NONE,25,33,MORNING,EXTROVERT,True,True,10,True
23,MALE,24,MALE,20,29,NIGHT,INTROVERT,False,False,5,False
24,FEMALE,24,FEMALE,20,28,NIGHT,EXTROVERT,False,True,5,False
25,MALE,22,MALE,20,29,MORNING,INTROVERT,True,False,2,True
26,MALE,31,NONE,23,37,NIGHT,EXTROVERT,True,False,2,False
27,MALE,36,MALE,31,44,MORNING,INTROVERT,False,False,2,False
28,FEMALE,30,NONE,27,35,MORNING,EXTROVERT,True,False,2,False
29,MALE,32,MALE,25,36,NIGHT,INTROVERT,False,False,3,True
30,MALE,25,NONE,20,33,MORNING,INTROVERT,True,False,2,False
31,MALE,27,MALE,20,35,MORNING,EXTROVERT,True,False,6,False
32,MALE,25,MALE,20,32,MORNING,INTROVERT,False,False,4,False
33,FEMALE,29,FEMALE,23,32,NIGHT,INTROVERT,False,True,4,True
34,MALE,31,MALE,27,36,MORNING,EXTROVERT,True,False,10,False
35,FEMALE,24,NONE,20,30,MORNING,INTROVERT,True,False,4,False
36,MALE,30,MALE,22,33,NIGHT,EXTROVERT,False,True,2,False
37,FEMALE,23,FEMALE,20,30,MORNING,EXTROVERT,False,True,4,False
38,FEMALE,25,FEMALE,20,28,NIGHT,EXTROVERT,False,True,2,False
39,MALE,26,MALE,23,29,MORNING,INTROVERT,True,True,10,False
40,MALE,25,MALE,20,32,MORNING,EXTROVERT,False,False,5,False
41,FEMALE,29,FEMALE,24,36,MORNING,EXTROVERT,True,False,2,False
42,MALE,29,MALE,25,34,MORNING,INTROVERT,True,False,7,False
43,MALE,21,MALE,20,28,MORNING,EXTROVERT,False,True,5,False
44,MALE,39,MALE,34,47,MORNING,INTROVERT,True,True,10,False
45,MALE,30,NONE,25,38,NIGHT,INTROVERT,False,True,5,True
46,FEMALE,21,NONE,20,24,MORNING,EXTROVERT,False,False,2,False
47,FEMALE,37,FEMALE,29,45,MORNING,EXTROVERT,False,False,7,True
48,FEMALE,22,FEMALE,20,30,MORNING,EXTROVERT,False,False,2,False
49,FEMALE,50,FEMALE,43,55,MORNING,EXTROVERT,True,True,2,False
50,FEMALE,27,FEMALE,21,30,MORNING,INTROVERT,False,True,10,False
51,MALE,31,NONE,26,34,MORNING,EXTROVERT,False,True,2,False
52,MALE,30,MALE,24,36,NIGHT,INTROVERT,False,False,10,False
53,FEMALE,28,FEMALE,24,31,NIGHT,INTROVERT,True,False,9,False
54,FEMALE,37,NONE,31,40,NIGHT,INTROVERT,False,False,4,False
55,FEMALE,34,FEMALE,31,42,NIGHT,INTROVERT,True,True,2,False
56,FEMALE,24,FEMALE,20,31,MORNING,EXTROVERT,False,False,9,False
57,FEMALE,28,NONE,24,34,MORNING,INTROVERT,True,False,9,False
58,FEMALE,27,FEMALE,21,35,MORNING,EXTROVERT,False,True,8,False
59,FEMALE,23,FEMALE,20,29,NIGHT,EXTROVERT,False,False,2,False
60,MALE,36,MALE,31,42,NIGHT,INTROVERT,True,False,2,True
61,MALE,21,MALE,20,24,MORNING,EXTROVERT,False,True,10,False
62,MALE,29,MALE,25,33,MORNING,EXTROVERT,False,False,2,False
63,FEMALE,26,FEMALE,21,33,MORNING,EXTROVERT,True,False,2,False
64,MALE,24,MALE,20,32,NIGHT,INTROVERT,False,False,4,False
65,MALE,42,MALE,38,48,NIGHT,EXTROVERT,True,True,2,False
66,MALE,26,NONE,21,31,MORNING,INTROVERT,True,False,2,False
67,FEMALE,28,FEMALE,23,34,NIGHT,INTROVERT,False,True,2,False
68,FEMALE,28,FEMALE,24,34,NIGHT,EXTROVERT,True,True,2,True
69,FEMALE,25,FEMALE,20,30,NIGHT,EXTROVERT,False,False,2,False
70,MALE,39,MALE,35,45,MORNING,INTROVERT,True,True,2,False
71,MALE,26,MALE,20,34,NIGHT,EXTROVERT,False,False,7,False
72,MALE,33,MALE,26,36,MORNING,INTROVERT,False,True,2,False
73,FEMALE,29,FEMALE,22,34,NIGHT,EXTROVERT,False,False,2,False
74,FEMALE,91,FEMALE,88,99,MORNING,EXTROVERT,True,False,4,False
75,MALE,24,MALE,20,32,NIGHT,EXTROVERT,False,False,2,False
76,MALE,47,MALE,39,55,MORNING,INTROVERT,False,False,4,False
77,MALE,34,NONE,28,41,NIGHT,EXTROVERT,False,False,4,False
78,FEMALE,33,FEMALE,27,39,MORNING,INTROVERT,False,False,2,False
79,FEMALE,47,NONE,43,53,NIGHT,EXTROVERT,True,True,4,False
80,MALE,24,NONE,20,29,NIGHT,EXTROVERT,False,True,2,False
81,FEMALE,26,NONE,23,31,MORNING,INTROVERT,False,True,2,False
82,FEMALE,39,FEMALE,35,46,MORNING,INTROVERT,True,False,4,False
83,FEMALE,27,FEMALE,22,30,NIGHT,INTROVERT,False,False,2,False
84,MALE,67,MALE,61,70,MORNING,EXTROVERT,False,False,2,False
85,FEMALE,20,NONE,20,26,NIGHT,EXTROVERT,False,False,10,False
86,FEMALE,28,FEMALE,23,36,NIGHT,INTROVERT,True,False,2,False
87,MALE,59,MALE,56,63,NIGHT,INTROVERT,False,False,2,False
88,MALE,33,MALE,25,40,MORNING,EXTROVERT,True,True,5,False
89,MALE,34,MALE,29,38,NIGHT,EXTROVERT,False,False,2,False
90,FEMALE,23,FEMALE,20,30,MORNING,EXTROVERT,True,True,2,False
91,MALE,27,MALE,24,31,NIGHT,INTROVERT,False,False,2,False
92,MALE,21,FEMALE,20,28,NIGHT,INTROVERT,True,True,5,False
93,FEMALE,39,FEMALE,32,47,MORNING,EXTROVERT,True,False,3,False
94,MALE,28,FEMALE,23,36,MORNING,EXTROVERT,False,True,3,False
95,MALE,21,FEMALE,20,24,MORNING,EXTROVERT,True,True,2,False
96,MALE,31,MALE,25,34,NIGHT,INTROVERT,False,True,2,False
97,FEMALE,21,FEMALE,20,28,MORNING,EXTROVERT,True,False,10,False
98,MALE,34,MALE,27,39,MORNING,INTROVERT,False,True,2,False
99,MALE,25,NONE,22,32,NIGHT,INTROVERT,False,True,10,False
100,MALE,32,MALE,28,36,MORNING,EXTROVERT,False,False,10,False
